,Age,SibSp,Parch,Fare,Family,Pclass_1,Pclass_2,Pclass_3,Name_Master,Name_Miss,Name_Mr,Name_Mrs,Name_Others,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Family Size_Large,Family Size_Single,Family Size_Small,Survived
0,-0.5657364610748746,1,0,-0.5024451714361923,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
1,0.6638610320657843,1,0,0.7868452935884461,2,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1
2,-0.2583370877897099,0,0,-0.4888542575852486,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1
3,0.4333115021019107,1,0,0.4207302360686478,2,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1
4,0.4333115021019107,0,0,-0.4863374216869257,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
5,-0.10463740114712752,0,0,-0.47811642890864375,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
6,1.893458525206443,0,0,0.395813560675251,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
7,-2.1027333275006983,3,1,-0.22408312108167944,5,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0
8,-0.1814872444684187,0,2,-0.4242561406845337,3,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1
9,-1.180535207645204,1,0,-0.04295550208861426,2,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1
10,-1.949033640858116,1,1,-0.312172377522981,3,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1
11,2.200857898491608,0,0,-0.11384570873513637,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1
12,-0.719436147717457,0,0,-0.4863374216869257,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
13,0.7407108753870755,1,5,-0.01870931177853076,7,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
14,-1.180535207645204,0,0,-0.4902797934380587,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
15,1.9703083685277343,0,0,-0.3262666585535892,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1
16,-2.1027333275006983,4,1,-0.06199888922968463,6,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0
17,-0.10463740114712752,0,0,-0.3866707201133388,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1
18,0.12591212881674602,1,0,-0.2859972841804228,2,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
19,-0.10463740114712752,0,0,-0.5029485386158568,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1
20,0.4333115021019107,0,0,-0.12491978668775715,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
21,0.35646165878061953,0,0,-0.3866707201133388,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1
22,-1.1036853643239128,0,0,-0.4867562231804066,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1
23,-0.10463740114712752,0,0,0.06635974158478332,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1
24,-1.6416342675729512,3,1,-0.22408312108167944,5,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0
25,0.6638610320657843,1,5,-0.016444159470040135,7,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1
26,-0.10463740114712752,0,0,-0.5029485386158568,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0
27,-0.7962859910387481,3,2,4.647001076532463,6,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
28,-0.10463740114712752,0,0,-0.48977642625839407,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1
29,-0.10463740114712752,0,0,-0.4894421904510968,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
30,0.8175607187083667,0,0,-0.09027201697708476,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0
31,-0.10463740114712752,1,0,2.301728820789,2,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1
32,-0.10463740114712752,0,0,-0.49237782784290063,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1
33,2.8156566450619374,0,0,-0.43700743807979686,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
34,-0.10463740114712752,1,0,1.0060617003323709,2,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
35,0.9712604053509489,1,0,0.39858208016340624,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
36,-0.10463740114712752,0,0,-0.5028639729296732,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1
37,-0.6425863043961658,0,0,-0.4863374216869257,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
